,key_value,label,ontology_mapping
10,"{'2nd troponin': '12.18', 'asa': '--', 'batch': '1', 'bun': '9', 'ca': '9.4', 'cad': 'No', 'cl': '100', 'co2': '28', 'creatinine': '0.79', 'current smoking': 'Yes', 'dyslipidemia': 'Yes', 'gender': 'female', 'glucose': '145', 'gpiib/iiia': '--', 'heparin/lovenox': 'Yes', 'ht': 'Yes', 'hx smoking': 'Yes', 'k': '3.7', 'mi type': 'STEMI', 'na': '135', 'pk/day': '0.5', 'pk/year': '--', 'plavix': 'Yes', 'prasugrel': '--', 'rr': '--', 'source_name': 'Plalelets', 'statin': 'Yes', 'study id': 'S34', 'ticagrelor': '--'}",primary_cells,"['UBERON:0003100', 'EFO:0003768', 'EFO:0000589', 'DOID:3146', 'EFO:0004318', 'EFO:0000408']"
11,"{'BioSampleModel': 'Generic', 'cell type': 'tumor cells', 'library': 'polyA RNA', 'source_name': 'HelaS3 cells'}",cell_line,"['EFO:0000616', 'DOID:14566', 'EFO:0000408']"
12,"{'BioSampleModel': 'Generic', 'disease state': 'sALS', 'source_name': 'Whole lumbar spinal cord homogenate', 'tissue': 'whole lumbar spinal cord'}",tissue,"['EFO:0000618', 'EFO:0000253', 'EFO:0003782', 'UBERON:0002240', 'EFO:0000408', 'UBERON:0002792', 'DOID:332', 'EFO:0005772']"
13,"{'BioSampleModel': 'Generic', 'cell line': 'Hs 578T', 'source_name': 'cell line Hs 578T', 'supplier': 'ATCC', 'treatment': 'HAS1 inhibitor'}",cell_line,"['EFO:0003156', 'UBERON:0003100', 'EFO:0001192', 'EFO:0000322', 'EFO:0000727', 'EFO:0000313', 'DOID:4', 'UBERON:0007023', 'DOID:305', 'EFO:0000408', 'CVCL:0332', 'CL:0000010', 'EFO:0001272']"
14,"{'cell type': 'Cranial neural crest cells (CNCCs)', 'cnccs derived from': 'ADRC40 iPSC', 'culture conditions': '+BMP2+ChIRON', 'individual': '2', 'source_name': 'Cranial neural crest cells'}",in_vitro_differentiated_cells,"['UBERON:0003099', 'EFO:0004905', 'CL:0002248', 'CL:0002371', 'CL:0011012', 'CL:0000723', 'CL:0000034', 'CL:0002321', 'EFO:0000795']"
15,"{'BioSampleModel': 'Generic', 'analyte type': 'RNA', 'biospecimen repository': 'NHGRI_ER_PositiveBreastCancer', 'biospecimen repository sample id': 'BRE077608_B42', 'gap_accession': 'phs000857', 'gap_sample_id': '1440750', 'gap_subject_id': '1108711', 'is tumor': 'Yes', 'molecular data type': 'RNA_Seq (NGS)', 'sex': 'female', 'study design': 'Clinical Trial', 'study name': 'Primary ER-positive Breast Cancer Treated with Neoadjuvant Letrozole', 'submitted sample id': 'BRE077608_B42', 'submitted subject id': 'BRE077608', 'submitter handle': 'NHGRI_ER_PositiveBreastCancer'}",tissue,"['EFO:0000616', 'UBERON:0003100', 'DOID:14566', 'EFO:0000408']"
16,"{'age': '59', 'gender': 'female', 'source_name': 'lesional skin sample', 'tissue': 'lesional skin'}",tissue,"['UBERON:0000014', 'UBERON:0003100', 'EFO:0000962']"
17,"{'BioSampleModel': 'Generic', 'differentiation': 'Differentiation 1, 80% confluency', 'source_name': 'Human Adipose Derived Stem Cells', 'starting material': 'single cells', 'time point': 'Day 2'}",in_vitro_differentiated_cells,"['UBERON:0001013', 'CL:0000034']"
18,"{'BioSampleModel': 'Generic', 'cell line': 'HeLa', 'genotype/variation': 'SRSF1 knockdown', 'source_name': 'HeLa (cervical adenocarcinoma)'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0006858', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'EFO:0001416', 'EFO:0000311', 'EFO:0000313', 'DOID:3702', 'DOID:4', 'EFO:0001061', 'EFO:0000408', 'EFO:0003150', 'UBERON:0000002', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0000322']"
19,"{'BioSampleModel': 'Generic', 'ercc': '2% by volume of ERCC mix #2', 'replicate number': '3', 'sample composition': 'Several brain regions from 23 adult donors', 'source_name': 'Ambion Human Brain Reference RNA (HBRR)'}",tissue,"['UBERON:0000955', 'UBERON:0007023', 'EFO:0001272']"
20,"{'Sex': 'male', 'age': '33', 'brain region': 'BA9', 'identifier': '1905', 'source_name': 'Human brain'}",tissue,"['EFO:0003534', 'UBERON:0000955', 'UBERON:0003101', 'UBERON:0013540']"
21,"{'BioSampleModel': 'Generic', 'cell type': 'M2 macrophages (alternatively activated)', 'donor': '1', 'source_name': 'human monocyte derived macrophages'}",primary_cells,"['CL:0000738', 'CL:0000235', 'CL:0000988', 'CL:0000766', 'CL:0000890']"
22,"{'cell type': 'human primary dermal fibroblast', 'donor': 'donor A', 'passage': 'between 4 and 7', 'source_name': 'NHDF, TGFbeta'}",cell_line,"['CL:0000057', 'CL:0000010']"
23,"{'cell type': 'peripheral monocytes', 'source_name': 'obese women_before bariatric surgery', 'subject id': '#20', 'time point': 'T0; before bariatric surgery', 'type of surgical procedure': 'adjustable gastric banding'}",primary_cells,"['CL:0000738', 'CL:0000766', 'CL:0000842', 'EFO:0002571', 'EFO:0001073', 'CL:0000576', 'CL:0000988']"
24,"{'BioSampleModel': 'Generic', 'ar-v7 status': 'Negative', 'cell type': 'Metastatic castration resistant prostate cancer', 'source_name': 'Metastatic castration resistant prostate cancer', 'therapy': 'Castration'}",tissue,"['EFO:0000616', 'EFO:0000727', 'EFO:0000311', 'DOID:10283', 'EFO:0007355', 'EFO:0000512', 'DOID:162', 'DOID:14566', 'EFO:0000408']"
25,"{'BioSampleModel': 'Generic', 'cell line': 'Ewing sarcoma cell line SKMNC', 'source_name': 'SKNMC cells', 'time': '96 hrs', 'treatment': 'shFLI1'}",cell_line,"['EFO:0000174', 'EFO:0000616', 'EFO:0000727', 'EFO:0000311', 'DOID:3369', 'EFO:0003820', 'DOID:14566', 'EFO:0000322', 'CL:0000010', 'EFO:0000408']"
26,"{'BioSampleModel': 'Generic', 'cell line': 'H1', 'cell type': 'ES-derived cells', 'passage': '30-38', 'source_name': 'overexpression of RUNX1c in Embryonic stem cells; cells collected 3 days after transduction'}",in_vitro_differentiated_cells,"['CL:0002322', 'EFO:0000322', 'CL:0000034', 'CL:0000010']"
27,"{'cell line': 'HeLa', 'genotype': 'Unk-and-GFP-Tet-on', 'organism': 'Homo sapiens', 'phenotype': 'Doxycycline-induced GFP and Unk overexpression'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'DOID:4', 'EFO:0000408', 'EFO:0003150', 'UBERON:0000002', 'EFO:0000322', 'CL:0000010']"
28,"{'BioSampleModel': 'Generic', 'cell type': 'Cord blood CD34+ cells', 'growth time': '16 hour culture', 'modulating agent': 'UM171[19nM]', 'source_name': 'Cord blood CD34+_UM171'}",primary_cells,"['UBERON:0012168', 'UBERON:0000178']"
29,"{'BioSampleModel': 'Generic', 'disease status': 'normal', 'source_name': 'Colon tissue,normal', 'tissue': 'Colon tissue'}",tissue,['UBERON:0001155']
30,"{'diagnosis': 'Neurologically normal', 'source_name': 'brain', 'tissue': 'BA9 prefrontal cortex'}",tissue,"['EFO:0003534', 'UBERON:0035944', 'UBERON:0000071', 'UBERON:0000955', 'UBERON:0000451', 'UBERON:0013540']"
31,"{'BioSampleModel': 'Generic', 'cell line': 'C4-2B', 'chip antibody': 'none', 'chip antibody manufacturer': 'none', 'source_name': 'prostate cancer cells', 'treatment': 'DHT treated (16h)'}",cell_line,"['EFO:0000616', 'EFO:0000727', 'EFO:0000311', 'CVCL:4784', 'DOID:10283', 'EFO:0007355', 'EFO:0006365', 'EFO:0000512', 'DOID:162', 'DOID:14566', 'EFO:0000322', 'CL:0000010', 'EFO:0000408']"
32,"{'cell type': 'embryonic stem cell', 'source_name': 'Human embryonic stem cells', 'treatment': 'Gata6 overexpressing hESC line2 in KSR media'}",stem_cells,"['CL:0002322', 'EFO:0000727', 'CL:0000034', 'CL:0000010']"
33,"{'BioSampleModel': 'Generic', 'cell line': 'Saos-2', 'cell type': 'osteosarcoma', 'genetic modification': 'Tet-on TAp73alpha', 'source_name': 'TAp73alpha Saos-2 cell line'}",cell_line,"['EFO:0000637', 'DOID:3347', 'UBERON:0003100', 'EFO:0000691', 'EFO:0000408', 'EFO:0000311', 'EFO:0000616', 'UBERON:0002481', 'UBERON:0001474', 'DOID:4', 'CVCL:0548', 'EFO:0003820', 'EFO:0000510', 'EFO:0000298', 'DOID:14566', 'EFO:0000322', 'CL:0000010', 'EFO:0003156']"
34,"{'analyte type': 'RNA', 'biospecimen repository': 'NCI_PeripheralT_Cell_Lymphomas', 'biospecimen repository sample id': 'B20', 'body site': 'Skin, parotis region', 'gap_accession': 'phs000689', 'gap_consent_code': '1', 'gap_consent_short_name': 'DS-CA-PUB-MDS', 'gap_sample_id': '1224626', 'gap_subject_id': '949077', 'histological type': 'ALCL, ALK-', 'is tumor': 'Yes', 'molecular data type': 'Whole Exome (NGS)', 'study design': 'Case-Control', 'study disease': 'Lymphoma, T-Cell, Peripheral', 'study name': 'Genomic Analysis of Peripheral T-Cell Lymphomas', 'subject is affected': 'Yes', 'submitted sample id': 'B20', 'submitted subject id': 'B20', 'submitter handle': 'NCI_PeripheralT_Cell_Lymphomas'}",tissue,"['UBERON:0000014', 'EFO:0000962', 'EFO:0000616', 'DOID:14566', 'EFO:0000408']"
35,"{'age': '64', 'gender': 'male', 'source_name': 'Human aortic valve leaflet', 'tissue': 'Calcified tricuspid aortic valve'}",tissue,"['UBERON:0011742', 'UBERON:0003101', 'UBERON:0002137']"
36,"{'analyte type': 'RNA', 'biospecimen repository': 'UCSD_CLL', 'biospecimen repository sample id': 'SA52314', 'body site': 'Blood', 'gap_accession': 'phs000767', 'gap_consent_code': '1', 'gap_consent_short_name': 'DS-CLL', 'gap_sample_id': '1317815', 'gap_subject_id': '1027964', 'histological type': 'Chronic Lymphocytic Leukemia', 'is tumor': 'Yes', 'molecular data type': 'RNA_Seq (NGS)', 'sex': 'female', 'study design': 'Tumor vs. Matched-Normal', 'study disease': 'Chronic Lymphocytic Leukemia', 'study name': 'The UC San Diego Chronic Lymphocytic Leukemia (CLL) Study', 'subject is affected': 'Yes', 'submitted sample id': 'SA52314', 'submitted subject id': 'SU11596', 'submitter handle': 'UCSD_CLL'}",tissue,"['UBERON:0003100', 'EFO:0000616', 'EFO:0000311', 'EFO:0001642', 'UBERON:0000178', 'EFO:0005803', 'EFO:0000095', 'DOID:1040', 'EFO:0000408', 'EFO:0000565', 'EFO:0000540', 'DOID:14566']"
37,"{'cell_line': 'HCT15', 'tissue_type': 'epithelial'}",cell_line,"['EFO:0000365', 'UBERON:0003101', 'DOID:0050861', 'EFO:0002188', 'UBERON:0001155', 'EFO:0000322', 'DOID:4', 'EFO:0000408', 'CL:0000010', 'CL:0000066', 'CVCL:0292']"
38,"{'BioSampleModel': 'Generic', 'cell type': 'Cultured primary human lung fibroblast', 'source_name': 'Cultured human lung fibroblast'}",cell_line,"['CL:0000057', 'CL:0002553']"
39,"{'BioSampleModel': 'Generic', 'cell type': 'primary foot fibroblast', 'sample type': 'RNA sequencing', 'source_name': 'Foot (c45) fibroblasts'}",cell_line,"['EFO:0002693', 'UBERON:0002387', 'CL:0000057']"
40,"{'BioSampleModel': 'Generic', 'age': '71', 'gender': 'female', 'group': 'alzheimer patient', 'source_name': 'whole blood'}",tissue,"['UBERON:0003100', 'EFO:0000249', 'UBERON:0000178']"
41,"{'BioSampleModel': 'Generic', 'age': '76', 'bmi': '33.1', 'gender': 'Female', 'hba1c': '6.8', 'source_name': 'pancreatic islets', 'tissue': 'pancreatic islets', 'year of birth': '1934'}",primary_cells,"['UBERON:0035946', 'UBERON:0003100', 'UBERON:0000006']"
42,"{'BioSampleModel': 'Generic', 'agent': 'DMSO', 'cell line': '584-A2', 'cell type': 'Head and Neck Squamous Cell Carcinoma cells', 'source_name': '584-A2_DMSO'}",cell_line,"['CVCL:V278', 'EFO:0000616', 'EFO:0000311', 'EFO:0000408', 'EFO:0000181', 'DOID:14566', 'EFO:0000322', 'CL:0000010', 'DOID:5520']"
43,"{'BioSampleModel': 'Generic', 'disease state': 'Control', 'sex': 'M', 'source_name': 'Brain cortex', 'tissue': 'Human brain cortex (BA9)'}",tissue,"['UBERON:0000955', 'EFO:0003534', 'UBERON:0013540', 'UBERON:0000956', 'UBERON:0003101']"
44,"{'cell line': 'MCF7+BORIS (Clone2, single-cell clone of MCF7 cell, stably expressing BORIS)', 'source_name': 'Human breast cancer cell line'}",cell_line,"['DOID:4', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'EFO:0000322', 'CVCL:0031', 'DOID:299', 'UBERON:0001911', 'EFO:0000311', 'DOID:162', 'DOID:1612', 'EFO:0003156', 'EFO:0002885', 'UBERON:0007023', 'EFO:0000408', 'EFO:0001203', 'UBERON:0000310', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0001272']"
45,"{'BioSampleModel': 'Generic', 'source_name': 'islets of Langerhans', 'tissue': 'islets of Langerhans', 'treatment': 'palmitate'}",primary_cells,"['EFO:0000727', 'UBERON:0000006']"
46,"{'BioSampleModel': 'Generic', 'source_name': 'skin', 'tissue type': 'Uninvolved skin'}",tissue,"['UBERON:0000014', 'EFO:0000962']"
47,"{'BioSampleModel': 'Generic', 'cell cycle phase': 'G1 (day6-0 h)', 'cell line': 'H9', 'cell type': 'hESC-derived endoderm cells', 'source_name': 'hESC-derived endoderm cells, G1'}",in_vitro_differentiated_cells,"['UBERON:0000925', 'EFO:0003045', 'EFO:0000322', 'CVCL:9773', 'CL:0000034', 'CL:0000223', 'CL:0002322', 'EFO:0000795', 'CL:0000010']"
48,"{'source_name': 'small airway epithelial cell line', 'tgf-beta treatment': 'None', 'tnf-alpha treatment': '1 hour'}",cell_line,"['EFO:0000322', 'EFO:0000727', 'CL:0002368', 'CL:0000066', 'CL:0000010']"
49,"{'BioSampleModel': 'Generic', 'biopsy location': 'left leg', 'exercise status': 'untrained', 'gender': 'male', 'original sample id': '2T1', 'source_name': 'skeletal muscle', 'time point': 'pre-training period 1', 'tissue': 'skeletal muscle'}",tissue,"['UBERON:0014895', 'UBERON:0003101', 'EFO:0000483', 'UBERON:0000978', 'UBERON:0014892', 'UBERON:0001134', 'UBERON:0001015', 'UBERON:0001630']"
50,"{'barcode': 'CATTGTTAGC', 'source_name': 'CD4+ T cells', 'status': 'healthy'}",primary_cells,"['CL:0000084', 'CL:0000738', 'CL:0000988', 'CL:0000624', 'CL:0000542']"
51,"{'BioSampleModel': 'Generic', 'cell line': 'HEK293', 'purification': 'oligo(dT) beads', 'source_name': 'HEK293 cell culture', 'transfection': 'MOV10 siRNA'}",cell_line,"['EFO:0001182', 'CVCL:0045', 'EFO:0000726', 'UBERON:0002113', 'EFO:0000322', 'CL:0000010']"
52,"{'BioSampleModel': 'Generic', 'cell type': 'CD34+ HSPC-derived proerythroblasts', 'shRNA': 'shSUZ12', 'source_name': 'Human primary fetal live proerythroblasts (ProEs), shSUZ12', 'tissue': 'fetal liver'}",in_vitro_differentiated_cells,"['CL:0000763', 'CL:0000764', 'UBERON:0007220', 'CL:0000547', 'UBERON:0000323', 'CL:0000988', 'UBERON:0002107']"
53,"{'BioSampleModel': 'Generic', 'cell line': 'WI38', 'cell type': 'primary fibroblasts', 'genotype/variation': 'infected with pBABE-puro-empty', 'source_name': 'Proliferatives_RNAseq', 'status': 'Proliferative'}",cell_line,"['CVCL:0579', 'UBERON:0003100', 'CL:0000057', 'EFO:0000322', 'EFO:0003156', 'EFO:0001260', 'UBERON:0002048', 'CL:0000010']"
54,"{'BioSampleModel': 'Generic', 'cell line': 'IMR90', 'cell type': 'proliferating', 'source_name': 'IMR90 human fiboblasts'}",cell_line,"['EFO:0001196', 'UBERON:0003100', 'CL:0000057', 'EFO:0000322', 'EFO:0003156', 'CVCL:0347', 'UBERON:0002048', 'CL:0000010']"
55,"{'BioSampleModel': 'Generic', 'cell type': 'MCF7', 'source_name': 'MCF7 cell line', 'treatment': '10nM E2 treatment for 24h'}",cell_line,"['EFO:0003156', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0031', 'EFO:0000322', 'EFO:0001203', 'EFO:0000727', 'UBERON:0000310', 'DOID:4', 'UBERON:0007023', 'EFO:0000408', 'UBERON:0001911', 'DOID:299', 'CL:0000010', 'EFO:0001272']"
56,"{'BioSampleModel': 'Generic', 'cell line': '11-18', 'source_name': '11-18 cells, treated with PBS-1086', 'tissue': 'Lung adenocarcinoma', 'treatment': 'treated with PBS-1086'}",cell_line,"['EFO:0000684', 'EFO:0006858', 'EFO:0000228', 'CVCL:A596', 'EFO:0000571', 'EFO:0000322', 'EFO:0000727', 'EFO:0000311', 'EFO:0000313', 'EFO:0003818', 'EFO:0001071', 'DOID:3910', 'EFO:0000408', 'DOID:299', 'EFO:0003060', 'DOID:14566', 'EFO:0000616', 'CL:0000010']"
57,"{'BioSampleModel': 'Human', 'age': 'not collected', 'biomaterial_provider': 'Prlic Lab, Vaccine and Infectious Disease Division, Fred Hutchinson Cancer Research Center, Seattle, WA.', 'cell_line': 'not applicable', 'cell_subtype': 'not applicable', 'cell_type': 'Mucosal Associated Invariant T-cell', 'culture_collection': 'not applicable', 'dev_stage': 'not applicable', 'disease': 'not applicable', 'disease_stage': 'not applicable', 'ethnicity': 'not collected', 'health_state': 'healthy', 'isolate': 'single cell S65', 'karyotype': 'not collected', 'phenotype': 'not applicable', 'population': 'not applicable', 'race': 'not collected', 'sample_type': 'single-cell', 'sex': 'not collected', 'tissue': 'Immune System', 'treatment': 'Unstim'}",primary_cells,"['CL:0000738', 'EFO:0000727', 'UBERON:0002405', 'CL:0000084', 'CL:0000542', 'CL:0000988']"
58,"{'cell line': 'BJ', 'cell type': 'Fibroblast', 'rna type': 'Total RNA', 'source_name': 'Fibroblast cell'}",cell_line,"['EFO:0000322', 'CL:0000057', 'CL:0000010']"
59,"{'BioSampleModel': 'Generic', 'cell type': 'lymphoblastoid cell line', 'sex': 'Male', 'source_name': 'GM18507'}",cell_line,"['EFO:0005292', 'UBERON:0003101']"
60,"{'BioSampleModel': 'Generic', 'genotype/variation': 'reduced PTEN', 'source_name': 'MCF7L breast cancer cells'}",cell_line,"['EFO:0000616', 'EFO:0000311', 'DOID:1612', 'EFO:0000408', 'DOID:162', 'DOID:14566']"
61,"{'cell line': 'MCF-7M', 'parental cell line': 'MCF-7', 'sirna': 'LIN28 +A1 (LIN28A1)', 'source_name': 'MCF-7M cells', 'tissue': 'breast'}",cell_line,"['EFO:0003156', 'CVCL:6672', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0031', 'DOID:299', 'UBERON:0001911', 'UBERON:0000175', 'UBERON:0000310', 'DOID:4', 'UBERON:0007023', 'EFO:0000408', 'EFO:0001203', 'EFO:0000322', 'CL:0000010', 'EFO:0001272']"
62,"{'BioSampleModel': 'Generic', 'cell line': 'MCF7', 'source_name': 'MCF7'}",cell_line,"['EFO:0003156', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0031', 'EFO:0000322', 'EFO:0001203', 'UBERON:0000310', 'DOID:4', 'UBERON:0007023', 'EFO:0000408', 'UBERON:0001911', 'DOID:299', 'CL:0000010', 'EFO:0001272']"
63,"{'BioSampleModel': 'Generic', 'cell type': 'human GBM-derived ""stem-like"" cells', 'genotype': 'BMI1 dox-inducible', 'source_name': 'human GBM1 GSCs+BMI1 knockdown+BMP7+Arvanil+doxycycline', 'treatment': 'BMI1 knockdown+BMP7+Arvanil+doxycycline'}",stem_cells,"['EFO:0000272', 'DOID:3068', 'EFO:0000727', 'EFO:0000311', 'EFO:0000408', 'EFO:0005543', 'DOID:14566', 'EFO:0000616', 'EFO:0000519']"
64,"{'BioSampleModel': 'Generic', 'antibody': 'no', 'experiment': 'RNA-Seq', 'restriction enzyme': 'no', 'source_name': 'fetal lung fibroblast', 'treatment': 'no treat'}",cell_line,"['CL:0000057', 'CL:0002553', 'UBERON:0007220', 'EFO:0000727', 'UBERON:0000323', 'EFO:0002694']"
65,"{'BioSampleModel': 'Generic', 'developmental stage': 'Embryonic stem cells', 'source_name': 'Embryonic stem cells'}",stem_cells,"['CL:0002322', 'CL:0000034']"
66,"{'BioSampleModel': 'Generic', 'cell line': 'MDA-MB231 cells', 'sirna': 'siE2', 'source_name': 'MDA-MB231 cells'}",cell_line,"['CVCL:0062', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'EFO:0000322', 'DOID:299', 'DOID:4', 'EFO:0003156', 'UBERON:0007023', 'EFO:0000408', 'EFO:0001209', 'CL:0000010', 'EFO:0001272']"
67,"{'BioSampleModel': 'Generic', 'cell line': 'MCF-7', 'source_name': 'Breast cancer cells', 'treatment': 'Non-specific control RNA'}",cell_line,"['DOID:4', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'EFO:0000322', 'EFO:0000311', 'DOID:299', 'UBERON:0001911', 'EFO:0000727', 'DOID:162', 'DOID:1612', 'EFO:0003156', 'UBERON:0007023', 'EFO:0000408', 'EFO:0001203', 'CVCL:0031', 'UBERON:0000310', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0001272']"
68,"{'cell type': 'normal', 'patient': 'follicular thyroid carcinoma', 'source_name': 'formalin-fixed paraffin-embedded tissue'}",primary_cells,"['DOID:3963', 'DOID:3962', 'EFO:0006858', 'EFO:0000228', 'EFO:0003769', 'EFO:0003841', 'EFO:0000616', 'EFO:0000311', 'EFO:0000313', 'DOID:305', 'EFO:0000501', 'EFO:0002892', 'DOID:14566', 'EFO:0001379', 'EFO:0000408']"
69,"{'BioSampleModel': 'Generic', 'co-culture': 'OP9-GFP', 'source_name': 'CD34+, OP9-GFP, donor4'}",primary_cells,[]
70,"{'BioSampleModel': 'Generic', 'antibody': 'Ago2', 'antibody manufacturer': 'Abnova', 'cell line': '293S', 'source_name': '293S cells', 'treatment': 'no treatment (control)'}",cell_line,"['CVCL:A784', 'EFO:0000322', 'EFO:0000727', 'CL:0000010']"
71,"{'BioSampleModel': 'Generic', 'cell type': 'HeLa-229 cells', 'sample collection time': '72h post-transfection', 'source_name': 'HeLa-229_miR-503', 'transfected with': 'miR-503 (final conc. of 50nM)'}",cell_line,"['EFO:0000726', 'CVCL:1276', 'CL:0000010']"
72,"{'BioSampleModel': 'Generic', 'cell type': 'iPSC-derived midbrain dopamine (mDA) neurons', 'expression construct': 'Nuclear GFP', 'source_name': 'iPSC-derived midbrain dopamine (mDA) neurons'}",in_vitro_differentiated_cells,"['UBERON:0001891', 'CL:0002248', 'CL:0000034', 'CL:0002371', 'CL:0000723', 'CL:0000540', 'EFO:0004905']"
73,"{'cell line': 'KBM7', 'cell type': 'Chronic myelogenous leukemia cell line', 'passages': '2', 'source_name': 'KBM7_gene_trap_3kb_downstream'}",cell_line,"['CVCL:A426', 'DOID:1240', 'EFO:0005294', 'EFO:0000616', 'EFO:0000565', 'EFO:0000311', 'EFO:0000339', 'EFO:0001642', 'EFO:0005903', 'EFO:0000408', 'DOID:8552', 'EFO:0000540', 'DOID:14566', 'EFO:0000322', 'CL:0000010']"
74,"{'BioSampleModel': 'Generic', 'cdh1 genotype': 'CDH1-/-', 'cell line': 'MCF10A', 'cell type': 'mammary epithelial cells', 'source_name': 'MCF10A CDH1-/-'}",cell_line,"['EFO:0003156', 'UBERON:0003100', 'CL:0000066', 'EFO:0000322', 'UBERON:0000310', 'DOID:4', 'EFO:0001200', 'EFO:0000408', 'UBERON:0001911', 'CVCL:0598', 'CL:0002327', 'CL:0000010']"
